회차,상태,측정시간,검색반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-17 09:05:51,0.3132631778717041,,,,
2,성공,2025-12-17 09:05:53,0.3145408630371094,,,,
3,성공,2025-12-17 09:05:55,0.3129286766052246,,,,
4,성공,2025-12-17 09:05:57,0.3283121585845947,,,,
5,성공,2025-12-17 09:05:59,0.320446252822876,,,,
6,성공,2025-12-17 09:06:02,0.32087087631225586,,,,
7,성공,2025-12-17 09:06:04,0.35387229919433594,,,,
8,성공,2025-12-17 09:06:06,0.2971174716949463,,,,
9,성공,2025-12-17 09:06:08,0.3137092590332031,,,,
10,성공,2025-12-17 09:06:10,0.34380364418029785,,,,
통계,,,,0.3219,0.2971,0.3539,0.0156
