회차,상태,측정시간,검색반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-17 09:23:16,0.7293975353240967,,,,
2,성공,2025-12-17 09:23:21,1.0035698413848877,,,,
3,성공,2025-12-17 09:23:26,0.8158950805664062,,,,
4,성공,2025-12-17 09:23:31,0.8251001834869385,,,,
5,성공,2025-12-17 09:23:35,1.009303331375122,,,,
6,성공,2025-12-17 09:23:40,0.6969339847564697,,,,
7,성공,2025-12-17 09:23:45,1.033205270767212,,,,
8,성공,2025-12-17 09:23:50,1.0814030170440674,,,,
9,성공,2025-12-17 09:23:55,0.7276527881622314,,,,
10,성공,2025-12-17 09:24:00,0.7853319644927979,,,,
요약,,,,0.8708,0.6969,1.0814,0.1381
