회차,상태,측정시간,검색반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-17 09:08:19,1.3367321491241455,,,,
2,성공,2025-12-17 09:08:22,1.3321497440338135,,,,
3,성공,2025-12-17 09:08:25,1.141164779663086,,,,
4,성공,2025-12-17 09:08:28,1.2423851490020752,,,,
5,성공,2025-12-17 09:08:31,1.3221430778503418,,,,
6,성공,2025-12-17 09:08:34,1.3032269477844238,,,,
7,성공,2025-12-17 09:08:38,1.259122610092163,,,,
8,성공,2025-12-17 09:08:41,1.339505672454834,,,,
9,성공,2025-12-17 09:08:44,1.194333553314209,,,,
10,성공,2025-12-17 09:08:47,1.285534381866455,,,,
요약,,,,1.2756,1.1412,1.3395,0.0633
