회차,상태,측정시간,로그인반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,Success,2025-12-10 13:44:57,2.343691110610962,,,,
2,Success,2025-12-10 13:45:29,2.3683457374572754,,,,
3,Success,2025-12-10 13:46:02,8.118935108184814,,,,
4,Success,2025-12-10 13:46:39,2.4399027824401855,,,,
5,Success,2025-12-10 13:47:11,3.955113172531128,,,,
6,Success,2025-12-10 13:47:45,2.418672800064087,,,,
7,Success,2025-12-10 13:48:17,2.4284398555755615,,,,
8,Success,2025-12-10 13:48:49,8.10771107673645,,,,
9,Success,2025-12-10 13:49:27,2.4412639141082764,,,,
10,Success,2025-12-10 13:49:59,2.379962921142578,,,,
Summary,Stats,,,3.7002,2.3437,8.1189,2.3760
