회차,측정시각,로그인반응속도(초),팝업메시지,평균(초),최소(초),최대(초),표준편차(초)
1,2025-12-04 14:22,0.8888,메인화면 로드 완료,,,,
2,2025-12-04 14:22,0.9126,메인화면 로드 완료,,,,
3,2025-12-04 14:22,0.9025,메인화면 로드 완료,,,,
4,2025-12-04 14:23,0.8859,메인화면 로드 완료,,,,
5,2025-12-04 14:23,0.8797,메인화면 로드 완료,,,,
6,2025-12-04 14:24,0.8955,메인화면 로드 완료,,,,
7,2025-12-04 14:24,0.9142,메인화면 로드 완료,,,,
8,2025-12-04 14:24,0.8831,메인화면 로드 완료,,,,
9,2025-12-04 14:25,0.874,메인화면 로드 완료,,,,
10,2025-12-04 14:25,0.8741,메인화면 로드 완료,,,,
요약,,,,0.891,0.874,0.9142,0.0147
