회차,측정시각,로그인반응속도(초),팝업메시지,평균(초),최소(초),최대(초),표준편차(초)
1,2025-12-04 14:09,1.521,로그인 성공하였습니다.,,,,
2,2025-12-04 14:09,1.3218,로그인 성공하였습니다.,,,,
3,2025-12-04 14:09,1.2909,로그인 성공하였습니다.,,,,
4,2025-12-04 14:10,1.2922,로그인 성공하였습니다.,,,,
5,2025-12-04 14:10,1.3258,로그인 성공하였습니다.,,,,
6,2025-12-04 14:11,1.2029,로그인 성공하였습니다.,,,,
7,2025-12-04 14:11,1.15,로그인 성공하였습니다.,,,,
8,2025-12-04 14:11,1.1547,로그인 성공하였습니다.,,,,
9,2025-12-04 14:12,1.3137,로그인 성공하였습니다.,,,,
10,2025-12-04 14:12,1.2557,로그인 성공하였습니다.,,,,
요약,,,,1.2829,1.15,1.521,0.1067
