회차,상태,측정시간,로그인반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,Success,2025-12-16 14:43:36,1.236320972442627,,,,
2,Success,2025-12-16 14:44:07,1.4144091606140137,,,,
3,Success,2025-12-16 14:44:39,0.9461569786071777,,,,
4,Success,2025-12-16 14:45:10,1.011274814605713,,,,
5,Success,2025-12-16 14:45:41,1.1405410766601562,,,,
6,Success,2025-12-16 14:46:13,1.116192102432251,,,,
7,Success,2025-12-16 14:46:44,0.9044160842895508,,,,
8,Success,2025-12-16 14:47:15,1.0287261009216309,,,,
9,Success,2025-12-16 14:47:46,0.9018280506134033,,,,
10,Success,2025-12-16 14:48:17,0.9378602504730225,,,,
Summary,Stats,,,1.0638,0.9018,1.4144,0.1655
